method,backbone,dataset,noise_name,seed,ece_type,ece,source_file
Ours,clip_vit_b16,cifar10,human_worse_label,1,Raw,0.0167337627902627,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,human_worse_label,2,Raw,0.0176833478659391,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,human_worse_label,3,Raw,0.0169399880379437,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,human_worse_label,1,Calibrated,0.0219790128231048,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,human_worse_label,2,Calibrated,0.0217356058701872,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,human_worse_label,3,Calibrated,0.0215570557072758,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,instance_0.4,1,Raw,0.0141663486078382,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,instance_0.4,2,Raw,0.0259901245236397,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,instance_0.4,3,Raw,0.0143334114700556,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,instance_0.4,1,Calibrated,0.0171365615800022,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,instance_0.4,2,Calibrated,0.0091506429448723,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,instance_0.4,3,Calibrated,0.0202652926132082,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,pairflip_0.3,1,Raw,0.0090263364523648,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,pairflip_0.3,2,Raw,0.0090204205557703,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,pairflip_0.3,3,Raw,0.0083961770206689,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,pairflip_0.3,1,Calibrated,0.0214606281802058,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,pairflip_0.3,2,Calibrated,0.0202719934687018,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,pairflip_0.3,3,Calibrated,0.0206981738105416,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,symmetric_0.6,1,Raw,0.0427579921916127,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,symmetric_0.6,2,Raw,0.041320304903388,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,symmetric_0.6,3,Raw,0.0400940426543355,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,symmetric_0.6,1,Calibrated,0.0143555922195315,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,symmetric_0.6,2,Calibrated,0.0137450673282147,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar10,symmetric_0.6,3,Calibrated,0.0113663079887628,stage2/clip_vit_b16/cifar10/runs.csv
Ours,clip_vit_b16,cifar100,human_noisy_label,1,Raw,0.0489062161352485,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,human_noisy_label,2,Raw,0.0468386911284178,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,human_noisy_label,3,Raw,0.047689070026204,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,human_noisy_label,1,Calibrated,0.1499381795540452,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,human_noisy_label,2,Calibrated,0.1546118636280298,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,human_noisy_label,3,Calibrated,0.1423572480209172,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,instance_0.4,1,Raw,0.0948891919959336,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,instance_0.4,2,Raw,0.0955313807170838,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,instance_0.4,3,Raw,0.0942777813736349,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,instance_0.4,1,Calibrated,0.0750020314767956,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,instance_0.4,2,Calibrated,0.0921053857833146,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,instance_0.4,3,Calibrated,0.0741910283364355,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,pairflip_0.3,1,Raw,0.0326854635145515,stage2/clip_vit_b16/cifar100/runs.csv
Ours,clip_vit_b16,cifar100,pairflip_0.3,2,Raw,0.0386588660750537,stage2/clip_vit_b16/cifar100/runs.csv
