method,backbone,dataset,noise_name,ece_type,n_runs,ece_mean,ece_std,ece_mean_percent,ece_std_pp
Ours,clip_vit_b16,cifar10,human_worse_label,Raw,3,0.0171190328980485,0.0004994704700323127,1.7119032898048498,0.04994704700323127
Ours,clip_vit_b16,cifar10,human_worse_label,Calibrated,3,0.021757224800189268,0.00021180766157178585,2.1757224800189268,0.021180766157178586
Ours,clip_vit_b16,cifar10,instance_0.4,Raw,3,0.018163294867177833,0.006778747993061573,1.8163294867177833,0.6778747993061573
Ours,clip_vit_b16,cifar10,instance_0.4,Calibrated,3,0.015517499046027568,0.005731481652169019,1.5517499046027567,0.5731481652169019
Ours,clip_vit_b16,cifar10,pairflip_0.3,Raw,3,0.008814311342934667,0.0003621270261256653,0.8814311342934666,0.036212702612566525
Ours,clip_vit_b16,cifar10,pairflip_0.3,Calibrated,3,0.020810265153149734,0.0006021930514077861,2.0810265153149734,0.06021930514077861
Ours,clip_vit_b16,cifar10,symmetric_0.6,Raw,3,0.0413907799164454,0.0013333723523040876,4.13907799164454,0.13333723523040875
Ours,clip_vit_b16,cifar10,symmetric_0.6,Calibrated,3,0.013155655845502998,0.0015794016192991912,1.3155655845502998,0.1579401619299191
Ours,clip_vit_b16,cifar100,human_noisy_label,Raw,3,0.04781132576329009,0.0010391702278286384,4.781132576329009,0.10391702278286384
Ours,clip_vit_b16,cifar100,human_noisy_label,Calibrated,3,0.14896909706766406,0.006184516276038078,14.896909706766406,0.6184516276038078
Ours,clip_vit_b16,cifar100,instance_0.4,Raw,3,0.09489945136221743,0.0006268626399948241,9.489945136221744,0.0626862639994824
Ours,clip_vit_b16,cifar100,instance_0.4,Calibrated,3,0.08043281519884857,0.01011687251873942,8.043281519884857,1.011687251873942
Ours,clip_vit_b16,cifar100,pairflip_0.3,Raw,3,0.035012865194305735,0.003197563514161923,3.5012865194305736,0.3197563514161923
Ours,clip_vit_b16,cifar100,pairflip_0.3,Calibrated,3,0.08840779755314186,0.0016069433317628294,8.840779755314186,0.16069433317628296
