Method,Backbone,ECE,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
Ours,clip_vit_b16,Raw,1.71 +/- 0.05,4.14 +/- 0.13,0.88 +/- 0.04,1.82 +/- 0.68,4.78 +/- 0.10,10.74 +/- 0.15,3.50 +/- 0.32,9.49 +/- 0.06
Ours,clip_vit_b16,Calibrated,2.18 +/- 0.02,1.32 +/- 0.16,2.08 +/- 0.06,1.55 +/- 0.57,14.90 +/- 0.62,7.94 +/- 0.21,8.84 +/- 0.16,8.04 +/- 1.01
Ours,clip_vit_l14,Raw,2.24 +/- 0.06,4.51 +/- 0.10,1.35 +/- 0.02,2.10 +/- 0.14,2.28 +/- 0.13,5.53 +/- 0.20,1.71 +/- 0.10,5.29 +/- 0.17
Ours,clip_vit_l14,Calibrated,2.14 +/- 0.06,1.30 +/- 0.03,2.09 +/- 0.08,1.76 +/- 0.04,5.06 +/- 0.17,1.60 +/- 0.09,1.88 +/- 0.11,1.67 +/- 0.28
Ours,dinov2_vit_b14,Raw,5.86 +/- 0.03,9.51 +/- 0.03,4.35 +/- 0.05,5.74 +/- 0.01,6.79 +/- 0.03,16.61 +/- 0.15,7.50 +/- 0.06,10.29 +/- 0.20
Ours,dinov2_vit_b14,Calibrated,3.72 +/- 0.03,3.48 +/- 0.03,2.54 +/- 0.02,2.72 +/- 0.08,3.88 +/- 0.02,2.09 +/- 0.18,2.86 +/- 0.10,2.20 +/- 0.23
Ours,vit_b16_imagenet,Raw,7.51 +/- 0.01,12.25 +/- 0.09,6.44 +/- 0.06,8.06 +/- 0.09,7.65 +/- 0.04,21.96 +/- 0.50,10.47 +/- 0.08,14.63 +/- 0.05
Ours,vit_b16_imagenet,Calibrated,3.19 +/- 0.02,3.24 +/- 0.04,2.85 +/- 0.07,2.75 +/- 0.09,7.95 +/- 0.23,3.56 +/- 0.69,3.71 +/- 0.68,2.85 +/- 0.79
Ours,vit_l16_imagenet,Raw,7.86 +/- 0.04,12.28 +/- 0.03,5.70 +/- 0.10,7.70 +/- 0.06,8.75 +/- 0.13,23.32 +/- 0.52,9.96 +/- 0.22,14.38 +/- 0.17
Ours,vit_l16_imagenet,Calibrated,2.71 +/- 0.04,2.43 +/- 0.06,1.96 +/- 0.07,2.12 +/- 0.04,2.85 +/- 0.18,1.02 +/- 0.23,0.69 +/- 0.14,1.22 +/- 0.15
