comparison_protocol,method_protocol,dataset,backbone,method,noise_name,seed,actual_noise_rate,feature_sha256,noisy_labels_sha256,source_partition,predicted_clean,predicted_noisy,score_direction,theta_gmm,theta_consistency,selection,clip_checkpoint,precision,recall,f1,auroc,auprc
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,human_noisy_label,1,0.402,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,4a1efd5da7a214b299cf6ac0bafe3f0d48c065b7aa2d40aa185d4711714bb311,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/human_noisy_label/seed_1/partition.csv,22771,27229,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.6797532043042345,0.9208457711442786,0.7821420270869869,0.9048715777300786,0.8771213383365084
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,human_noisy_label,2,0.402,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,4a1efd5da7a214b299cf6ac0bafe3f0d48c065b7aa2d40aa185d4711714bb311,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/human_noisy_label/seed_2/partition.csv,22763,27237,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.679626978007857,0.9209452736318408,0.7820943448042758,0.9049566423734173,0.8771962442732385
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,human_noisy_label,3,0.402,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,4a1efd5da7a214b299cf6ac0bafe3f0d48c065b7aa2d40aa185d4711714bb311,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/human_noisy_label/seed_3/partition.csv,22772,27228,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.6798516233289261,0.9209452736318408,0.7822430696416498,0.9049600808665702,0.877170712166371
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,instance_0.4,1,0.39738,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,6a2c5f125b97bbc808c4208626d75b772b9e6d095c86757854c64aaa0fb8f990,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/instance_0.4/seed_1/partition.csv,22221,27779,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.7143885669030563,0.998792088177563,0.8329835460040296,0.9938906172758575,0.9911232847319829
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,instance_0.4,2,0.39742,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,f2958ef08320644e73329ce7996207f974e92cadfd1bbb2eadda92d954df6ea6,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/instance_0.4/seed_2/partition.csv,22494,27506,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.7206064131462226,0.9974837703185547,0.8367351246385377,0.9927109238236932,0.9897645393597414
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,instance_0.4,3,0.3965,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,b171d76d81a097ff165018ac165558e7b929fc16255c394f0b6ab22f63109fee,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/instance_0.4/seed_3/partition.csv,22375,27625,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.7158371040723982,0.9974779319041615,0.8335089567966281,0.9932020966388793,0.9902858520109932
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,pairflip_0.3,1,0.29898,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,8a94da3360f80141eab7d0b746a71fad343be4539d812bf5eb4c32f679b0e377,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/pairflip_0.3/seed_1/partition.csv,20861,29139,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.5106558220941007,0.9953843066425848,0.6750136091453457,0.923817061430163,0.7649471778290081
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,pairflip_0.3,2,0.30056,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,0a2435afc13419d3aa92f3dfd548e6ee4e9b481026bbc9fb6944033309b43435,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/pairflip_0.3/seed_2/partition.csv,20709,29291,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.5114881704277765,0.9969390471120575,0.6760982874162323,0.9232592793121147,0.763735448737564
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,pairflip_0.3,3,0.30014,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,0a33fa88b7c01b7d1f0d62a8278ffbaa120b3421481a137f7415f710f3197e65,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/pairflip_0.3/seed_3/partition.csv,20818,29182,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.5123363717360017,0.9962684080762311,0.6766842426848311,0.9239461129857934,0.7651849498450829
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_b16,CLIPCleaner,symmetric_0.6,1,0.59664,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,4cca36e1f5d6ea4bf5a8bd7fab4712c64e5d21b9c69d76345e8264c52c411e16,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/symmetric_0.6/seed_1/partition.csv,15472,34528,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.8613299351251158,0.9969160632877447,0.9241765071472965,0.9937397026814394,0.9958102391189552
