Backbone,Method,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
clip_vit_l14,SimiFeat-V,91.36673845914316,90.01649979150397,80.45289894702825,94.38565044098152,80.62330266037388,88.223145508449,69.8482337450829,88.16612667027127
clip_vit_l14,SimiFeat-R,90.58430232230192,92.34432736578496,81.49980154787322,94.28295160312278,83.42089399560328,92.7260082268251,69.31199616421239,87.11136757432465
clip_vit_l14,Global-Local-GMM,95.55643765126788,99.03712502990876,95.89503295533754,98.11861907661935,79.76887927794469,97.11102338186984,80.77227750766794,95.71047696872982
dinov2_vit_b14,SimiFeat-V,91.3698952263998,90.6119976632339,81.55417213321293,95.23070132258832,84.90937117950354,92.45275930912712,75.29792028649638,92.85298750528192
dinov2_vit_b14,SimiFeat-R,90.25600458147088,92.88746273250462,82.81422705515627,95.19177335972664,86.05490927762828,94.98107702866515,75.77450250694154,91.7214177532294
dinov2_vit_b14,Global-Local-GMM,97.8264684499486,99.44854621453968,97.81668443991158,99.13407864768712,89.22149347336864,98.51189887653348,88.74648591615056,97.51588624970604
vit_b16_imagenet,SimiFeat-V,87.70717514417831,88.4785022893442,77.49410300844436,90.92363153064818,77.06149232307182,85.58817155432227,66.92497996501548,84.57687040031003
vit_b16_imagenet,SimiFeat-R,87.4084570638259,90.738373240425,77.84225007496116,90.92968470721604,79.64144213855619,91.23656335558152,66.01014060759816,83.97045475388859
vit_b16_imagenet,Global-Local-GMM,87.72946642606497,97.26958773931204,89.83631928854048,95.52157600157544,75.90553723712974,95.30600432010012,75.44377195436313,92.8654728989288
vit_l16_imagenet,SimiFeat-V,91.81763989321722,90.44174496524629,81.12485016559043,94.33551372517742,84.1308125210716,90.98907320705966,72.81713034934803,90.5924515065074
vit_l16_imagenet,SimiFeat-R,90.10590246168562,92.6443225897208,82.33033669643083,94.26444370021024,85.06544940037828,94.0508146273268,72.79395884000527,89.64850086472582
vit_l16_imagenet,Global-Local-GMM,84.42061117446636,99.14261190844236,97.0397305647988,98.47622292605756,80.18267446838875,97.69887453455344,85.19310702483402,96.52747110628374
