dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,seed,hard_detection_threshold,added_count,added_true_noisy,added_true_clean,original_precision,original_recall,original_f1,original_tp,original_fp,original_fn,original_tn,expanded_precision,expanded_recall,expanded_f1,expanded_tp,expanded_fp,expanded_fn,expanded_tn,delta_f1_pp
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,human_noisy_label,1,0.5,0,0,0,0.8854886475814413,0.5801492537313433,0.7010129550031561,11661,1508,8439,28392,0.8854886475814413,0.5801492537313433,0.7010129550031561,11661,1508,8439,28392,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,human_noisy_label,2,0.5,0,0,0,0.8853130929791271,0.5802985074626865,0.7010668670172803,11664,1511,8436,28389,0.8853130929791271,0.5802985074626865,0.7010668670172803,11664,1511,8436,28389,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,human_noisy_label,3,0.5,0,0,0,0.8854886475814413,0.5801492537313433,0.7010129550031561,11661,1508,8439,28392,0.8854886475814413,0.5801492537313433,0.7010129550031561,11661,1508,8439,28392,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,instance_0.4,1,0.5,0,0,0,0.9341613048032321,0.9426241884342443,0.9383736660153315,18729,1320,1140,28811,0.9341613048032321,0.9426241884342443,0.9383736660153315,18729,1320,1140,28811,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,instance_0.4,2,0.5,0,0,0,0.9370298841227892,0.9278345327361481,0.9324095380180545,18437,1239,1434,28890,0.9370298841227892,0.9278345327361481,0.9324095380180545,18437,1239,1434,28890,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,instance_0.4,3,0.5,0,0,0,0.9382672392018186,0.9368474148802017,0.9375567895002525,18573,1222,1252,28953,0.9382672392018186,0.9368474148802017,0.9375567895002525,18573,1222,1252,28953,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,pairflip_0.3,1,0.5,0,0,0,0.6777423759672281,0.7968425981671015,0.7324827056110684,11912,5664,3037,29387,0.6777423759672281,0.7968425981671015,0.7324827056110684,11912,5664,3037,29387,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,pairflip_0.3,2,0.5,0,0,0,0.6786390498594297,0.7870641469257387,0.7288412360969898,11828,5601,3200,29371,0.6786390498594297,0.7870641469257387,0.7288412360969898,11828,5601,3200,29371,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,pairflip_0.3,3,0.5,0,0,0,0.6761761761761762,0.8102218964483241,0.7371548091788171,12159,5823,2848,29170,0.6761761761761762,0.8102218964483241,0.7371548091788171,12159,5823,2848,29170,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,symmetric_0.6,1,0.5,0,0,0,0.9710436775223943,0.9375167605256101,0.9539857420609202,27968,834,1864,19334,0.9710436775223943,0.9375167605256101,0.9539857420609202,27968,834,1864,19334,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,symmetric_0.6,2,0.5,0,0,0,0.9688415537862337,0.9338538205980066,0.9510260010488386,28109,904,1991,18996,0.9688415537862337,0.9338538205980066,0.9510260010488386,28109,904,1991,18996,0.0
cifar100,clip_vit_b16,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,cuda,0.8,0.5,20,symmetric_0.6,3,0.5,0,0,0,0.9688772341453316,0.9354075752023718,0.9518482737580719,28080,902,1939,19079,0.9688772341453316,0.9354075752023718,0.9518482737580719,28080,902,1939,19079,0.0
