dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,human_worse_label,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.971922373621188,0.8195881416633506,0.8892786787921311,0.40208
cifar10,human_worse_label,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.9719157472417252,0.8193891762833267,0.8891587725690228,0.40208
cifar10,human_worse_label,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.9717620703884926,0.8199363310783924,0.8894164620821755,0.40208
cifar10,instance_0.4,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.9357629041406692,0.9857590997360952,0.9601105749411964,0.40166
cifar10,instance_0.4,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.9715772822370772,0.951952402379881,0.9616647305419466,0.40002
cifar10,instance_0.4,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.963863271852446,0.9653631845790874,0.964612645148346,0.39842
cifar10,pairflip_0.3,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.862761259935237,0.9807911117060436,0.9179978700745474,0.29882
cifar10,pairflip_0.3,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.8738395620090454,0.9739338064601712,0.9211756218437314,0.30154
cifar10,pairflip_0.3,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.8736159066555542,0.9769005458660632,0.9223758642363292,0.30044
cifar10,symmetric_0.6,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.979067364421186,0.9786432997934296,0.9788552861784554,0.60028
cifar10,symmetric_0.6,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.9743006820203618,0.9860286762254084,0.980129596791568,0.5998
cifar10,symmetric_0.6,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,Global-Local-GMM,0.9736357053518532,0.9849170939601783,0.979243908898305,0.60068
cifar100,human_noisy_label,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.8854886475814413,0.5801492537313433,0.7010129550031561,0.402
cifar100,human_noisy_label,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.8853130929791271,0.5802985074626865,0.7010668670172803,0.402
cifar100,human_noisy_label,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.8854886475814413,0.5801492537313433,0.7010129550031561,0.402
cifar100,instance_0.4,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.934161304803232,0.9426241884342444,0.9383736660153316,0.39738
cifar100,instance_0.4,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.9370298841227892,0.927834532736148,0.9324095380180544,0.39742
cifar100,instance_0.4,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.9382672392018186,0.9368474148802016,0.9375567895002525,0.3965
cifar100,pairflip_0.3,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.6777423759672281,0.7968425981671015,0.7324827056110684,0.29898
cifar100,pairflip_0.3,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.6786390498594297,0.7870641469257387,0.7288412360969898,0.30056
cifar100,pairflip_0.3,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.6761761761761762,0.8102218964483241,0.7371548091788171,0.30014
cifar100,symmetric_0.6,1,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.9710436775223944,0.93751676052561,0.9539857420609202,0.59664
cifar100,symmetric_0.6,2,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.9688415537862336,0.9338538205980066,0.9510260010488386,0.602
cifar100,symmetric_0.6,3,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,Global-Local-GMM,0.9688772341453316,0.9354075752023718,0.951848273758072,0.60038
cifar10,human_worse_label,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9133593580568207,0.8379426979705531,0.874027186883885,0.40208
cifar10,human_worse_label,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9298417894162575,0.847791484281735,0.8869230368944164,0.40208
cifar10,human_worse_label,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9226823605636845,0.8500298448070036,0.8848673139158576,0.40208
cifar10,human_worse_label,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9298417894162575,0.847791484281735,0.8869230368944164,0.40208
cifar10,human_worse_label,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9183673469387755,0.8505769996020692,0.8831732259064147,0.40208
cifar10,human_worse_label,3,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9298417894162575,0.847791484281735,0.8869230368944164,0.40208
cifar10,instance_0.4,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9033802547160777,0.9395010705571877,0.9210866752910737,0.40166
cifar10,instance_0.4,1,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-V,0.9200398803589233,0.9189862072399542,0.9195127419475375,0.40166
cifar10,instance_0.4,2,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,SimiFeat-R,0.9052326983361466,0.9384530773461327,0.9215435978004713,0.40002
