dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,seed,hard_detection_threshold,added_count,added_true_noisy,added_true_clean,original_precision,original_recall,original_f1,original_tp,original_fp,original_fn,original_tn,expanded_precision,expanded_recall,expanded_f1,expanded_tp,expanded_fp,expanded_fn,expanded_tn,delta_f1_pp
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,human_worse_label,1,0.5,0,0,0,0.9804420004150238,0.9400616792678074,0.9598273235144743,18899,377,1205,29519,0.9804420004150238,0.9400616792678074,0.9598273235144743,18899,377,1205,29519,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,human_worse_label,2,0.5,0,0,0,0.980439970945315,0.9399621965777955,0.9597744933719335,18897,377,1207,29519,0.980439970945315,0.9399621965777955,0.9597744933719335,18897,377,1207,29519,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,human_worse_label,3,0.5,0,0,0,0.9842291599613775,0.9126541981695185,0.9470913126516286,18348,294,1756,29602,0.9842291599613775,0.9126541981695185,0.9470913126516286,18348,294,1756,29602,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,instance_0.4,1,0.5,0,0,0,0.9627633984412586,0.9964646716128068,0.9793241821429445,20012,774,71,29143,0.9627633984412586,0.9964646716128068,0.9793241821429445,20012,774,71,29143,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,instance_0.4,2,0.5,0,0,0,0.9778756681845179,0.9878006099695015,0.9828130829498819,19757,447,244,29552,0.9778756681845179,0.9878006099695015,0.9828130829498819,19757,447,244,29552,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,instance_0.4,3,0.5,0,0,0,0.9700402079042856,0.9930726369158175,0.9814213072057547,19783,611,138,29468,0.9700402079042856,0.9930726369158175,0.9814213072057547,19783,611,138,29468,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,pairflip_0.3,1,0.5,0,0,0,0.9327481687294772,0.9886219128572384,0.9598726321603795,14771,1065,170,33994,0.9327481687294772,0.9886219128572384,0.9598726321603795,14771,1065,170,33994,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,pairflip_0.3,2,0.5,0,0,0,0.9329990598558445,0.9873316972872588,0.9593967517401392,14886,1069,191,33854,0.9329990598558445,0.9873316972872588,0.9593967517401392,14886,1069,191,33854,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,pairflip_0.3,3,0.5,0,0,0,0.92627387544329,0.9910797497004393,0.9575816047596076,14888,1185,134,33793,0.92627387544329,0.9910797497004393,0.9575816047596076,14888,1185,134,33793,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,symmetric_0.6,1,0.5,0,0,0,0.9859382736425153,0.9951689211701206,0.9905320930541047,29869,426,145,19560,0.9859382736425153,0.9951689211701206,0.9905320930541047,29869,426,145,19560,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,symmetric_0.6,2,0.5,0,0,0,0.9857940467144604,0.9949649883294431,0.9903582867289533,29839,430,151,19580,0.9857940467144604,0.9949649883294431,0.9903582867289533,29839,430,151,19580,0.0
cifar10,clip_vit_l14,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cuda:0,0.8,0.5,20,symmetric_0.6,3,0.5,0,0,0,0.9856501946295441,0.9948391822601053,0.9902233711142043,29879,435,155,19531,0.9856501946295441,0.9948391822601053,0.9902233711142043,29879,435,155,19531,0.0
