protocol,dataset,backbone,noise_type,noise_name,noise_ratio,noise_generator,seed,device,num_samples,feature_sha256,tau_global,tau_local,knn_k,actual_noise_rate,precision,recall,f1,clean_count,hard_count,noisy_count,local_gmm_fallback
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,human,human_noisy_label,,human_noisy_label,1,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.402,0.9088190379231357,0.7105970149253731,0.7975765021219566,30058,4226,15716,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,human,human_noisy_label,,human_noisy_label,2,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.402,0.9083285687059272,0.7113432835820895,0.7978572026450155,29985,4274,15741,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,human,human_noisy_label,,human_noisy_label,3,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.402,0.908720819286305,0.7107462686567164,0.7976326735713688,30043,4236,15721,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,instance,instance_0.4,0.4,jyp_matrix_idn,1,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.39738,0.9432503404007002,0.9762444008254064,0.9594638043182548,28729,707,20564,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,instance,instance_0.4,0.4,jyp_matrix_idn,2,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.39742,0.9431873836810657,0.9691510241054804,0.9559929509295341,28738,844,20418,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,instance,instance_0.4,0.4,jyp_matrix_idn,3,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.3965,0.9401434216303234,0.9721059268600252,0.9558575538141058,28752,749,20499,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,pairflip,pairflip_0.3,0.3,pairflip_0.3,1,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.29898,0.737238074008025,0.8849421365977658,0.8043656705074028,28941,3115,17944,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,pairflip,pairflip_0.3,0.3,pairflip_0.3,2,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.30056,0.7405432427928679,0.8871439978706415,0.8072416820562502,28930,3067,18003,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,pairflip,pairflip_0.3,0.3,pairflip_0.3,3,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.30014,0.7414962236065935,0.8962484174052109,0.811560972666385,28923,2938,18139,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,symmetric,symmetric_0.6,0.6,symmetric_0.6,1,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.59664,0.9572380178716491,0.987496647894878,0.9721319319550547,18347,878,30775,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,symmetric,symmetric_0.6,0.6,symmetric_0.6,2,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.602,0.9518923411328475,0.9893355481727575,0.9702528346148833,17756,960,31284,False
global_local_gmm_pairflip_v1,cifar100,clip_vit_l14,symmetric,symmetric_0.6,0.6,symmetric_0.6,3,cuda:0,50000,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0.8,0.5,20,0.60038,0.9544635386496749,0.9880075951897132,0.9709459348861572,18172,754,31074,False
