dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,human_worse_label,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9804420004150238,0.9400616792678074,0.9598273235144744,0.40208
cifar10,human_worse_label,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.980439970945315,0.9399621965777956,0.9597744933719335,0.40208
cifar10,human_worse_label,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9842291599613776,0.9126541981695184,0.9470913126516286,0.40208
cifar10,instance_0.4,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9627633984412586,0.9964646716128068,0.9793241821429444,0.40166
cifar10,instance_0.4,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.977875668184518,0.9878006099695016,0.982813082949882,0.40002
cifar10,instance_0.4,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9700402079042856,0.9930726369158176,0.9814213072057548,0.39842
cifar10,pairflip_0.3,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9327481687294772,0.9886219128572384,0.9598726321603795,0.29882
cifar10,pairflip_0.3,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9329990598558444,0.9873316972872588,0.9593967517401392,0.30154
cifar10,pairflip_0.3,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.92627387544329,0.9910797497004392,0.9575816047596076,0.30044
cifar10,symmetric_0.6,1,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9859382736425152,0.9951689211701206,0.9905320930541048,0.60028
cifar10,symmetric_0.6,2,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.9857940467144604,0.9949649883294432,0.9903582867289532,0.5998
cifar10,symmetric_0.6,3,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,Global-Local-GMM,0.985650194629544,0.9948391822601051,0.9902233711142044,0.60068
cifar100,human_noisy_label,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,Global-Local-GMM,0.9088190379231356,0.7105970149253731,0.7975765021219566,0.402
cifar100,human_noisy_label,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,Global-Local-GMM,0.9083285687059272,0.7113432835820895,0.7978572026450155,0.402
cifar100,human_noisy_label,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,Global-Local-GMM,0.908720819286305,0.7107462686567164,0.7976326735713688,0.402
cifar100,instance_0.4,1,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,Global-Local-GMM,0.9432503404007002,0.9762444008254064,0.9594638043182548,0.39738
cifar100,instance_0.4,2,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,Global-Local-GMM,0.9431873836810656,0.9691510241054804,0.955992950929534,0.39742
cifar100,instance_0.4,3,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,Global-Local-GMM,0.9401434216303234,0.9721059268600252,0.9558575538141058,0.3965
