dataset,noise_name,method,feature_sha256,n_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,setting
cifar10,human_worse_label,Global-Local-GMM,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9817037104405721,0.0021871036763924058,0.9308926913383738,0.015795076733089688,0.9555643765126788,0.007337936096142247,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-R,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9533122809441683,0.0031693323603289077,0.8628796922668789,0.0020492790231437016,0.905843023223019,0.0021563785255891564,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-V,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9550805620354798,0.0,0.8756963788300837,0.0,0.9136673845914315,0.0,CIFAR10-Human
cifar10,instance_0.4,Global-Local-GMM,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9702264248433541,0.007557855632357361,0.9924459728327086,0.004365893029443363,0.9811861907661937,0.0017562935447346067,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-R,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9371296856222493,0.004850953430660417,0.9486359390052118,0.006276375439824536,0.9428295160312278,0.002340876032475102,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-V,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9528376171938883,0.001809917021827949,0.9350485908337617,0.0048685385404530525,0.9438565044098152,0.00313214801578175,CIFAR10-Inst0.4
cifar10,pairflip_0.3,Global-Local-GMM,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9306737013428705,0.0038124254155704174,0.9890111199483121,0.001904097120105344,0.9589503295533754,0.0012089959530114883,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-R,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.7986188813414143,0.004363408701094409,0.8320663134085082,0.00406047473090347,0.8149980154787322,0.003993451755112137,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-V,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.8499786831932914,0.004199621961302396,0.7636972762724267,0.006767571222333147,0.8045289894702825,0.005607416595681685,CIFAR10-Pairflip0.3
cifar10,symmetric_0.6,Global-Local-GMM,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9857941716621732,0.00014403954713047384,0.9949910305865562,0.0001664048874318336,0.9903712502990875,0.00015476869727733107,CIFAR10-Symm0.6
cifar10,symmetric_0.6,SimiFeat-R,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9171825183712242,0.0027960827311727028,0.9297958998637282,0.0015306547628497768,0.9234432736578496,0.001077611076727369,CIFAR10-Symm0.6
cifar10,symmetric_0.6,SimiFeat-V,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,3,0.9466174638261778,0.0027346908337946172,0.8580596629086931,0.0012316732990057928,0.9001649979150398,0.0017572251000986783,CIFAR10-Symm0.6
cifar100,human_noisy_label,Global-Local-GMM,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.9086228086384559,0.00025950834008971175,0.7108955223880598,0.0003948882553828008,0.7976887927794469,0.0001485268327537627,CIFAR100-Human
cifar100,human_noisy_label,SimiFeat-R,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.8479268300519373,0.0008267701813516241,0.8209286898839138,0.0020125182681880924,0.8342089399560327,0.0013799865432765675,CIFAR100-Human
cifar100,human_noisy_label,SimiFeat-V,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.857631682279688,0.0,0.7606467661691543,0.0,0.8062330266037389,0.0,CIFAR100-Human
cifar100,instance_0.4,Global-Local-GMM,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.9421937152373631,0.0017758853548125273,0.9725004505969707,0.0035631075000563043,0.9571047696872982,0.002044105277928752,CIFAR100-Inst0.4
cifar100,instance_0.4,SimiFeat-R,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.7950086145434344,0.0031867452031254092,0.963334873628552,0.0018616324326769039,0.8711136757432465,0.002545040445664972,CIFAR100-Inst0.4
cifar100,instance_0.4,SimiFeat-V,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.8415231314940027,0.001393783634202537,0.9258251079463995,0.005171150637706507,0.8816612667027126,0.0031097481537029404,CIFAR100-Inst0.4
cifar100,pairflip_0.3,Global-Local-GMM,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.7397591801358288,0.002234731569690137,0.8894448506245394,0.005994033614398561,0.8077227750766793,0.003621695895639556,CIFAR100-Pairflip0.3
cifar100,pairflip_0.3,SimiFeat-R,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,3,0.6038883894531679,0.010110107236397376,0.8133210090179768,0.006331026390433044,0.6931199616421239,0.008905823739793652,CIFAR100-Pairflip0.3
