dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,seed,hard_detection_threshold,added_count,added_true_noisy,added_true_clean,original_precision,original_recall,original_f1,original_tp,original_fp,original_fn,original_tn,expanded_precision,expanded_recall,expanded_f1,expanded_tp,expanded_fp,expanded_fn,expanded_tn,delta_f1_pp
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,human_worse_label,1,0.5,0,0,0,0.9861511245893354,0.9705033824114604,0.9782646844994861,19511,274,593,29622,0.9861511245893354,0.9705033824114604,0.9782646844994861,19511,274,593,29622,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,human_worse_label,2,0.5,0,0,0,0.9861511245893354,0.9705033824114604,0.9782646844994861,19511,274,593,29622,0.9861511245893354,0.9705033824114604,0.9782646844994861,19511,274,593,29622,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,human_worse_label,3,0.5,0,0,0,0.9861511245893354,0.9705033824114604,0.9782646844994861,19511,274,593,29622,0.9861511245893354,0.9705033824114604,0.9782646844994861,19511,274,593,29622,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,instance_0.4,1,0.5,0,0,0,0.9873881003016964,0.994074590449634,0.9907200635204209,19964,255,119,29662,0.9873881003016964,0.994074590449634,0.9907200635204209,19964,255,119,29662,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,instance_0.4,2,0.5,0,0,0,0.990715319722458,0.992300384980751,0.9915072188639656,19847,186,154,29813,0.990715319722458,0.992300384980751,0.9915072188639656,19847,186,154,29813,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,instance_0.4,3,0.5,0,0,0,0.9884816753926702,0.9951307665277848,0.9917950770462277,19824,231,97,29848,0.9884816753926702,0.9951307665277848,0.9917950770462277,19824,231,97,29848,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,pairflip_0.3,1,0.5,0,0,0,0.9602371592446993,0.9972558731008634,0.9783964803992383,14900,617,41,34442,0.9602371592446993,0.9972558731008634,0.9783964803992383,14900,617,41,34442,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,pairflip_0.3,2,0.5,0,0,0,0.9595759627051536,0.9966173641971214,0.9777459656428943,15026,633,51,34290,0.9595759627051536,0.9966173641971214,0.9777459656428943,15026,633,51,34290,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,pairflip_0.3,3,0.5,0,0,0,0.9598411580093512,0.9976035148448942,0.9783580871552147,14986,627,36,34351,0.9598411580093512,0.9976035148448942,0.9783580871552147,14986,627,36,34351,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,symmetric_0.6,1,0.5,0,0,0,0.9919531094774489,0.9980342506830145,0.994984388493988,29955,243,59,19743,0.9919531094774489,0.9980342506830145,0.994984388493988,29955,243,59,19743,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,symmetric_0.6,2,0.5,0,0,0,0.9914133209561383,0.9971323774591531,0.9942646252057254,29904,259,86,19751,0.9914133209561383,0.9971323774591531,0.9942646252057254,29904,259,86,19751,0.0
cifar10,dinov2_vit_b14,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,cuda,0.8,0.5,20,symmetric_0.6,3,0.5,0,0,0,0.9912295217607149,0.9972031697409602,0.994207372736477,29950,265,84,19701,0.9912295217607149,0.9972031697409602,0.994207372736477,29950,265,84,19701,0.0
