dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,human_worse_label,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9861511245893354,0.9705033824114604,0.978264684499486,0.40208
cifar10,human_worse_label,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9861511245893354,0.9705033824114604,0.978264684499486,0.40208
cifar10,human_worse_label,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9861511245893354,0.9705033824114604,0.978264684499486,0.40208
cifar10,instance_0.4,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9873881003016964,0.994074590449634,0.9907200635204207,0.40166
cifar10,instance_0.4,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.990715319722458,0.992300384980751,0.9915072188639656,0.40002
cifar10,instance_0.4,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9884816753926702,0.9951307665277848,0.9917950770462276,0.39842
cifar10,pairflip_0.3,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9602371592446992,0.9972558731008634,0.9783964803992384,0.29882
cifar10,pairflip_0.3,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9595759627051536,0.9966173641971214,0.9777459656428944,0.30154
cifar10,pairflip_0.3,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9598411580093512,0.9976035148448942,0.9783580871552148,0.30044
cifar10,symmetric_0.6,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9919531094774487,0.9980342506830144,0.994984388493988,0.60028
cifar10,symmetric_0.6,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9914133209561384,0.9971323774591532,0.9942646252057254,0.5998
cifar10,symmetric_0.6,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,Global-Local-GMM,0.9912295217607148,0.9972031697409602,0.994207372736477,0.60068
cifar100,human_noisy_label,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.8769459926965213,0.9080099502487562,0.8922076652326946,0.402
cifar100,human_noisy_label,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.8769459926965213,0.9080099502487562,0.8922076652326946,0.402
cifar100,human_noisy_label,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.8769881312767287,0.9080099502487562,0.8922294737356701,0.402
cifar100,instance_0.4,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.9666979593853452,0.9846997835824652,0.9756158372394534,0.39738
cifar100,instance_0.4,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.9696186166774402,0.9813295757636756,0.9754389475263868,0.39742
cifar100,instance_0.4,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.9660882498760536,0.9829003783102144,0.9744218027253406,0.3965
cifar100,pairflip_0.3,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.8002168609379235,0.98735701384708,0.8839911361322393,0.29898
cifar100,pairflip_0.3,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.8177348066298342,0.9848948629225446,0.8935643564356436,0.30056
cifar100,pairflip_0.3,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.8009179265658747,0.9884054108082896,0.8848390849166343,0.30014
cifar100,symmetric_0.6,1,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.9761402583706827,0.9928935371413248,0.9844456261632544,0.59664
cifar100,symmetric_0.6,2,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.9786210057621793,0.9930564784053156,0.9857858980278346,0.602
cifar100,symmetric_0.6,3,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,Global-Local-GMM,0.9775642076950832,0.992804557113828,0.9851254421049151,0.60038
cifar10,human_worse_label,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9599842855539342,0.8508257063270991,0.9021148673593165,0.40208
cifar10,human_worse_label,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.962353459188728,0.8697274174293673,0.9136989522639981,0.40208
cifar10,human_worse_label,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9607876135981152,0.8519200159172304,0.9030846295808067,0.40208
cifar10,human_worse_label,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.962353459188728,0.8697274174293673,0.9136989522639981,0.40208
cifar10,human_worse_label,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9554777388694348,0.8550537206526064,0.9024806405040031,0.40208
cifar10,human_worse_label,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.962353459188728,0.8697274174293673,0.9136989522639981,0.40208
cifar10,instance_0.4,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9551104624830155,0.9450281332470248,0.9500425489312709,0.40166
cifar10,instance_0.4,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9659196052225764,0.935666982024598,0.9505526468877254,0.40166
cifar10,instance_0.4,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9554520603422092,0.9436528173591321,0.9495157841780908,0.40002
cifar10,instance_0.4,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9664807354612127,0.9356032198390081,0.9507913522851409,0.40002
cifar10,instance_0.4,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.9547115047790622,0.9576828472466241,0.9561948676824379,0.39842
cifar10,instance_0.4,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.9688386730640252,0.9426735605642287,0.9555770405047832,0.39842
cifar10,pairflip_0.3,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.829663810151615,0.8423800281105682,0.8359735644780977,0.29882
cifar10,pairflip_0.3,1,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.8800884281140418,0.7727059768422462,0.8229088705941052,0.29882
cifar10,pairflip_0.3,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.8196442584357834,0.8313324932015653,0.825447001876914,0.30154
cifar10,pairflip_0.3,2,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.8734628814331259,0.7632154937985011,0.814626030936958,0.30154
cifar10,pairflip_0.3,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-R,0.808752650857914,0.8377712688057516,0.8230062452996763,0.30044
cifar10,pairflip_0.3,3,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,SimiFeat-V,0.8685858277336591,0.7572227399813607,0.8090902624653247,0.30044
