dataset,noise_name,method,feature_sha256,n_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,setting
cifar10,human_worse_label,Global-Local-GMM,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9861511245893354,0.0,0.9705033824114603,0.0,0.9782646844994861,0.0,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-R,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9587498793404947,0.0028620816608551317,0.8525998142989787,0.002194452246927394,0.9025600458147087,0.0004897331866267623,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-V,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.962353459188728,0.0,0.8697274174293673,0.0,0.9136989522639981,0.0,CIFAR10-Human
cifar10,instance_0.4,Global-Local-GMM,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9888616984722748,0.0016958509439945688,0.99383524731939,0.001430289752443045,0.9913407864768713,0.0005564964732792976,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-R,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9550913425347622,0.0003706478312939196,0.9487879326175936,0.007733854352208717,0.9519177335972665,0.003713458935170721,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-V,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9670796712492714,0.0015489616923630661,0.9379812541426116,0.0040637816218197145,0.9523070132258832,0.002834440662679576,CIFAR10-Inst0.4
cifar10,pairflip_0.3,Global-Local-GMM,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9598847599864012,0.00033274775022352533,0.9971589173809597,0.0005001735536213397,0.9781668443991158,0.00036499685735026346,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-R,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.8193535731484375,0.010458609812199907,0.8371612633726283,0.00554897169417355,0.8281422705515626,0.0068910228986828,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-V,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.8740457124269422,0.005773406520695554,0.7643814035407027,0.0078071867575838115,0.8155417213321293,0.006954663854497709,CIFAR10-Pairflip0.3
cifar10,symmetric_0.6,Global-Local-GMM,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9915319840647673,0.0003761056978618728,0.9974565992943759,0.0005015114474145468,0.9944854621453968,0.000433030122852496,CIFAR10-Symm0.6
cifar10,symmetric_0.6,SimiFeat-R,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.925486696425032,0.0031768754841168946,0.9323047542081637,0.004015631865041488,0.9288746273250462,0.0010438197440166006,CIFAR10-Symm0.6
cifar10,symmetric_0.6,SimiFeat-V,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3,0.9544944365467307,0.0002609819408821573,0.8624147356840419,0.002342244646294389,0.9061199766323389,0.001176273096488341,CIFAR10-Symm0.6
cifar100,human_noisy_label,Global-Local-GMM,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.8769600388899237,2.4328720625999054e-05,0.9080099502487563,0.0,0.8922149347336864,1.2591145063531507e-05,CIFAR100-Human
cifar100,human_noisy_label,SimiFeat-R,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.9065209216429161,0.001681901876288225,0.8190215588723051,0.0029918386604507108,0.8605490927762828,0.001284337080730586,CIFAR100-Human
cifar100,human_noisy_label,SimiFeat-V,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.911445851877211,0.0,0.7947263681592039,0.0,0.8490937117950353,0.0,CIFAR100-Human
cifar100,instance_0.4,Global-Local-GMM,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.9674682753129463,0.0018870379989073373,0.9829765792187851,0.0016863955998839362,0.9751588624970603,0.0006444108339893231,CIFAR100-Inst0.4
cifar100,instance_0.4,SimiFeat-R,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.8739439218445346,0.0029642048756072918,0.9649955565130165,0.0017809430028105759,0.9172141775322938,0.002114400700943372,CIFAR100-Inst0.4
cifar100,instance_0.4,SimiFeat-V,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.900841063511029,0.0007850564614460704,0.957976706521798,0.0024307922801915798,0.9285298750528191,0.0013303167127587982,CIFAR100-Inst0.4
cifar100,pairflip_0.3,Global-Local-GMM,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.8062898647112108,0.009917806959916653,0.9868857625259714,0.0018020946063573087,0.8874648591615056,0.005299306986120956,CIFAR100-Pairflip0.3
cifar100,pairflip_0.3,SimiFeat-R,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.7018473323507389,0.003081633322010949,0.8233190921028232,0.0022791462704933657,0.7577450250694154,0.0026455333980478883,CIFAR100-Pairflip0.3
cifar100,pairflip_0.3,SimiFeat-V,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.7499166750139682,0.004562111014735067,0.7560704376250897,0.001755186641875952,0.7529792028649638,0.003170750800305259,CIFAR100-Pairflip0.3
cifar100,symmetric_0.6,Global-Local-GMM,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.9774418239426484,0.0012448936670451814,0.9929181908868228,0.00012775734676139425,0.9851189887653348,0.0006701592362566954,CIFAR100-Symm0.6
cifar100,symmetric_0.6,SimiFeat-R,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.9248225475797499,0.002408056377164811,0.9761886998627451,0.0007619680347456568,0.9498107702866515,0.001464647769043078,CIFAR100-Symm0.6
cifar100,symmetric_0.6,SimiFeat-V,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,3,0.9570538702942878,0.0009142424664153102,0.8941428337422296,0.002576263713336583,0.9245275930912712,0.0012572418369286157,CIFAR100-Symm0.6
