protocol,dataset,backbone,noise_type,noise_name,noise_ratio,noise_generator,seed,device,num_samples,feature_sha256,tau_global,tau_local,knn_k,actual_noise_rate,precision,recall,f1,clean_count,hard_count,noisy_count,local_gmm_fallback,derived_from
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,human,human_noisy_label,,human_noisy_label,1,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.402,0.8509888751545117,0.6850248756218905,0.7590407938257994,29440,4380,16180,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\human_noisy_label\seed_1\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,human,human_noisy_label,,human_noisy_label,2,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.402,0.8513271051166243,0.6845771144278607,0.7589002564597523,29482,4355,16163,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\human_noisy_label\seed_2\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,human,human_noisy_label,,human_noisy_label,3,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.402,0.8509915364181133,0.6853233830845771,0.7592250668283407,29417,4396,16187,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\human_noisy_label\seed_3\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,1,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.39738,0.9327217125382263,0.9363833106849867,0.9345489250552542,29356,697,19947,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\instance_0.4\seed_1\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,2,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.39742,0.93663629849524,0.9209400634089879,0.9287218655637037,29579,883,19538,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\instance_0.4\seed_2\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,3,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.3965,0.9508670520231214,0.8961412358133669,0.9226933963489055,29568,1748,18684,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\instance_0.4\seed_3\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,1,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.29898,0.6912227466846482,0.8228644056458626,0.7513208123377615,27582,4622,17796,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\pairflip_0.3\seed_1\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,2,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.30056,0.697135755042088,0.8211338834176204,0.7540713129029302,27683,4616,17701,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\pairflip_0.3\seed_2\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,3,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.30014,0.6981534489532469,0.8288798560671686,0.7579210333902023,27817,4366,17817,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\pairflip_0.3\seed_3\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,1,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.59664,0.9690204222914504,0.9384218289085545,0.9534756990565716,19428,1682,28890,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\symmetric_0.6\seed_1\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,2,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.602,0.970603439363132,0.9356810631229235,0.9528223692000609,19382,1601,29017,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\symmetric_0.6\seed_2\metrics.json
global_local_gmm_pairflip_v1,cifar100,vit_b16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,3,cuda,50000,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0.8,0.5,20,0.60038,0.9681311881188119,0.9381058662846864,0.9528820613463719,19293,1619,29088,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar100\vit_b16\g0.8_l0.8_k20_cuda_8e57ad20e557\symmetric_0.6\seed_3\metrics.json
