dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,human_worse_label,1,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.9559936630874846,0.8104357341822523,0.8772175411204135,0.40208
cifar10,human_worse_label,2,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.9558944281524928,0.8106844409072821,0.8773214189589277,0.40208
cifar10,human_worse_label,3,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.9559504956302424,0.8106844409072821,0.8773450327026081,0.40208
cifar10,instance_0.4,1,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.9391754572728152,0.9664392770004482,0.9526123340450072,0.40166
cifar10,instance_0.4,2,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.9444362781125972,0.9637018149092546,0.9539717891610988,0.40002
cifar10,instance_0.4,3,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.9561442897769796,0.9619998996034336,0.9590631568411572,0.39842
cifar10,pairflip_0.3,1,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.8279351082471313,0.9803226022354596,0.8977077715126256,0.29882
cifar10,pairflip_0.3,2,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.8288222384784198,0.97691848510977,0.8967973697028738,0.30154
cifar10,pairflip_0.3,3,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.8333427713913585,0.9796298761816004,0.9005844374407148,0.30044
cifar10,symmetric_0.6,1,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.9769805478898836,0.9672152995268876,0.9720733994106616,0.60028
cifar10,symmetric_0.6,2,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.97698399326032,0.9667222407469156,0.9718260286600184,0.5998
cifar10,symmetric_0.6,3,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,Global-Local-GMM,0.969498120424718,0.978923886262236,0.9741882041086812,0.60068
cifar100,human_noisy_label,1,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,Global-Local-GMM,0.8509888751545117,0.6850248756218905,0.7590407938257994,0.402
cifar100,human_noisy_label,2,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,Global-Local-GMM,0.8513271051166243,0.6845771144278607,0.7589002564597523,0.402
cifar100,human_noisy_label,3,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,Global-Local-GMM,0.8509915364181133,0.6853233830845771,0.7592250668283407,0.402
cifar100,instance_0.4,1,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,Global-Local-GMM,0.9327217125382264,0.9363833106849868,0.9345489250552542,0.39738
cifar100,instance_0.4,2,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,Global-Local-GMM,0.93663629849524,0.920940063408988,0.9287218655637036,0.39742
cifar100,instance_0.4,3,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,Global-Local-GMM,0.9508670520231214,0.8961412358133669,0.9226933963489056,0.3965
cifar100,pairflip_0.3,1,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,Global-Local-GMM,0.6912227466846482,0.8228644056458626,0.7513208123377615,0.29898
