dataset,noise_name,method,feature_sha256,n_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,setting
cifar10,human_worse_label,Global-Local-GMM,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.9559461956234067,4.975701583490909e-05,0.8106015386656056,0.0001435908946452341,0.8772946642606497,6.782614755817542e-05,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-R,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.9128965805736605,0.0009964271824173944,0.8384401114206127,0.0016033387844494415,0.8740845706382591,0.0007156353997871723,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-V,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.9179445350734095,0.0,0.839683645045762,0.0,0.8770717514417831,0.0,CIFAR10-Human
cifar10,instance_0.4,Global-Local-GMM,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.9465853417207973,0.008686148452142939,0.9640469971710455,0.002239727888309771,0.9552157600157544,0.0034005699966706284,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-R,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.8884206096905064,0.004140128465992974,0.9311950473777083,0.010857143001556088,0.9092968470721604,0.007262386023163722,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-V,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.9068022494720679,0.0034978983347199594,0.911695340325538,0.009177987546622447,0.9092363153064819,0.006309389287753187,CIFAR10-Inst0.4
cifar10,pairflip_0.3,Global-Local-GMM,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.8300333727056365,0.002900144782180694,0.9789569878422766,0.0017990518028260702,0.8983631928854048,0.0019767785396121013,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-R,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.7383914951845129,0.0020548438530022355,0.823060175570664,0.007171221509746057,0.7784225007496115,0.003895503072079645,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-V,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.7914195206070089,0.0017772233057219671,0.7591449992640422,0.006538712403304062,0.7749410300844436,0.004243821413680866,CIFAR10-Pairflip0.3
cifar10,symmetric_0.6,Global-Local-GMM,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,3,0.9744875538583072,0.004320976447379487,0.9709538088453464,0.00690669076067092,0.9726958773931204,0.0012982978631850132,CIFAR10-Symm0.6
