dataset,backbone,feature_sha256,device,tau_global,tau_local,knn_k,noise_name,seed,hard_detection_threshold,added_count,added_true_noisy,added_true_clean,original_precision,original_recall,original_f1,original_tp,original_fp,original_fn,original_tn,expanded_precision,expanded_recall,expanded_f1,expanded_tp,expanded_fp,expanded_fn,expanded_tn,delta_f1_pp
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,human_noisy_label,1,0.5,0,0,0,0.9427381886200447,0.7773134328358209,0.8520710059171598,15624,949,4476,28951,0.9427381886200447,0.7773134328358209,0.8520710059171598,15624,949,4476,28951,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,human_noisy_label,2,0.5,0,0,0,0.9427416435380717,0.777363184079602,0.852102306811365,15625,949,4475,28951,0.9427416435380717,0.777363184079602,0.852102306811365,15625,949,4475,28951,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,human_noisy_label,3,0.5,0,0,0,0.9427381886200447,0.7773134328358209,0.8520710059171598,15624,949,4476,28951,0.9427381886200447,0.7773134328358209,0.8520710059171598,15624,949,4476,28951,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,instance_0.4,1,0.5,0,0,0,0.9660519906555992,0.9782072575368664,0.9720916274882465,19436,683,433,29448,0.9660519906555992,0.9782072575368664,0.9720916274882465,19436,683,433,29448,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,instance_0.4,2,0.5,0,0,0,0.965520677628301,0.9751899753409491,0.970331238576901,19378,692,493,29437,0.965520677628301,0.9751899753409491,0.970331238576901,19378,692,493,29437,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,instance_0.4,3,0.5,0,0,0,0.9656892080590465,0.9767465321563682,0.9711863981743862,19364,688,461,29487,0.9656892080590465,0.9767465321563682,0.9711863981743862,19364,688,461,29487,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,pairflip_0.3,1,0.5,0,0,0,0.8396908809891809,0.9085557562378754,0.872766996530009,13582,2593,1367,32458,0.8396908809891809,0.9085557562378754,0.872766996530009,13582,2593,1367,32458,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,pairflip_0.3,2,0.5,0,0,0,0.8559418457648547,0.9010513707745542,0.877917531120332,13541,2279,1487,32693,0.8559418457648547,0.9010513707745542,0.877917531120332,13541,2279,1487,32693,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,pairflip_0.3,3,0.5,0,0,0,0.8426399064212277,0.9120410475111614,0.875968,13687,2556,1320,32437,0.8426399064212277,0.9120410475111614,0.875968,13687,2556,1320,32437,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,symmetric_0.6,1,0.5,0,0,0,0.9846620596662734,0.9791499061410566,0.9818982469704355,29210,455,622,19713,0.9846620596662734,0.9791499061410566,0.9818982469704355,29210,455,622,19713,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,symmetric_0.6,2,0.5,0,0,0,0.9852793576446972,0.978405315614618,0.9818303050508418,29450,440,650,19460,0.9852793576446972,0.978405315614618,0.9818303050508418,29450,440,650,19460,0.0
cifar100,vit_l16_imagenet,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,cuda:1,0.8,0.5,20,symmetric_0.6,3,0.5,0,0,0,0.9846972944012858,0.9796129118225124,0.9821485229530919,29407,457,612,19524,0.9846972944012858,0.9796129118225124,0.9821485229530919,29407,457,612,19524,0.0
