protocol,dataset,backbone,noise_type,noise_name,noise_ratio,noise_generator,seed,device,num_samples,feature_sha256,tau_global,tau_local,knn_k,actual_noise_rate,precision,recall,f1,clean_count,hard_count,noisy_count,local_gmm_fallback
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,human,human_noisy_label,,human_noisy_label,1,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.402,0.9404753933712755,0.6988059701492537,0.8018267446838876,32315,2750,14935,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,human,human_noisy_label,,human_noisy_label,2,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.402,0.9404753933712755,0.6988059701492537,0.8018267446838876,32315,2750,14935,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,human,human_noisy_label,,human_noisy_label,3,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.402,0.9404753933712755,0.6988059701492537,0.8018267446838876,32315,2750,14935,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,1,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.39738,0.9625342978298828,0.9710604459207811,0.966778573933958,29660,295,20045,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,2,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.39742,0.9601992528019925,0.9700568667908006,0.965102888900015,29585,340,20075,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,3,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.3965,0.9610428678866884,0.9668600252206809,0.9639426703545386,29733,322,19945,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,1,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.29898,0.8321520618556701,0.863937387116195,0.8477468902819258,32000,2480,15520,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,2,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.30056,0.8267170372205364,0.8882752195900985,0.8563913392141139,31862,1991,16147,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,3,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.30014,0.8339506961297739,0.8701272739388285,0.8516549812489809,31925,2417,15658,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,1,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.59664,0.9835469286467009,0.9698645749530705,0.9766578338874917,20019,564,29417,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,2,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.602,0.9789606844435567,0.9769767441860465,0.9779677081428025,19806,155,30039,False
global_local_gmm_pairflip_v1,cifar100,vit_l16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,3,cuda,50000,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,0.8,0.5,20,0.60038,0.9836359333265713,0.9691528698490955,0.9763406940063092,19894,529,29577,False
