dataset,noise_name,seed,feature_sha256,method,precision,recall,f1,actual_noise_rate
cifar10,human_worse_label,1,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9966831381574494,0.732391563867887,0.8443386759182269,0.40208
cifar10,human_worse_label,2,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9966817904787704,0.7320931157978512,0.8441398296578819,0.40208
cifar10,human_worse_label,3,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9966817904787704,0.7320931157978512,0.8441398296578819,0.40208
cifar10,instance_0.4,1,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9858734580183048,0.9869043469601156,0.9863886331400702,0.40166
cifar10,instance_0.4,2,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9901555725580208,0.9705514724263788,0.9802555168408827,0.40002
cifar10,instance_0.4,3,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9883376061931332,0.9869484463631344,0.9876425378007736,0.39842
cifar10,pairflip_0.3,1,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9530071552891124,0.989492001874038,0.9709069416168647,0.29882
cifar10,pairflip_0.3,2,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9520224575730508,0.9897194402069376,0.9705050242268544,0.30154
cifar10,pairflip_0.3,3,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9502331821376094,0.9901477832512317,0.9697799511002444,0.30044
cifar10,symmetric_0.6,1,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9939355357501842,0.9883720930232558,0.9911460073504844,0.60028
cifar10,symmetric_0.6,2,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9942987457240592,0.9885961987329108,0.9914392723381488,0.5998
cifar10,symmetric_0.6,3,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,Global-Local-GMM,0.9936488835405805,0.9897449557168544,0.9916930775646372,0.60068
cifar100,human_noisy_label,1,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9404753933712756,0.6988059701492537,0.8018267446838876,0.402
cifar100,human_noisy_label,2,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9404753933712756,0.6988059701492537,0.8018267446838876,0.402
cifar100,human_noisy_label,3,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9404753933712756,0.6988059701492537,0.8018267446838876,0.402
cifar100,instance_0.4,1,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9625342978298828,0.9710604459207812,0.966778573933958,0.39738
cifar100,instance_0.4,2,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9601992528019924,0.9700568667908006,0.965102888900015,0.39742
cifar100,instance_0.4,3,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9610428678866884,0.9668600252206808,0.9639426703545386,0.3965
cifar100,pairflip_0.3,1,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.8321520618556701,0.863937387116195,0.8477468902819258,0.29898
cifar100,pairflip_0.3,2,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.8267170372205364,0.8882752195900985,0.8563913392141139,0.30056
cifar100,pairflip_0.3,3,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.8339506961297739,0.8701272739388285,0.8516549812489809,0.30014
cifar100,symmetric_0.6,1,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9835469286467008,0.9698645749530704,0.9766578338874916,0.59664
cifar100,symmetric_0.6,2,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9789606844435568,0.9769767441860464,0.9779677081428024,0.602
cifar100,symmetric_0.6,3,872ee970e7281b7e404723a0abedd51b6f7b1282d383d48cf8a9862f3d8a25c3,Global-Local-GMM,0.9836359333265712,0.9691528698490957,0.9763406940063092,0.60038
cifar10,human_worse_label,1,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,SimiFeat-R,0.9592836627808752,0.8472940708316753,0.8998177544174745,0.40208
cifar10,human_worse_label,1,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,SimiFeat-V,0.9585475404513232,0.8810684440907283,0.9181763989321722,0.40208
