dataset,noise_name,method,feature_sha256,n_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,setting
cifar10,human_worse_label,Global-Local-GMM,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.9966822397049967,7.780826480620841e-07,0.7321925984878631,0.00017230907357423925,0.8442061117446635,0.00011480394193755107,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-R,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.9590192553409197,0.00034546250539680676,0.8497148162886324,0.004763842986722281,0.9010590246168562,0.002527331321001207,CIFAR10-Human
cifar10,human_worse_label,SimiFeat-V,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.9585475404513232,0.0,0.8810684440907283,0.0,0.9181763989321722,0.0,CIFAR10-Human
cifar10,instance_0.4,Global-Local-GMM,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.9881222122564862,0.002149167779343899,0.9814680885832097,0.009454092628381684,0.9847622292605754,0.0039529624144296165,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-R,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.943468344997069,0.002514067645468429,0.9418559271176236,0.00733451700840201,0.9426444370021025,0.0024417245137594644,CIFAR10-Inst0.4
cifar10,instance_0.4,SimiFeat-V,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.9537096556254215,0.00011421296787289158,0.9332388152685632,0.006599356207928383,0.9433551372517742,0.0033218683336969715,CIFAR10-Inst0.4
cifar10,pairflip_0.3,Global-Local-GMM,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.9517542649999241,0.0014062991159511373,0.989786408444069,0.0003329802730746518,0.9703973056479879,0.0005711649282938032,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-R,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.8104618818493311,0.0011522250090967513,0.8365650876033123,0.004057641854370754,0.8233033669643083,0.0021196538122222387,CIFAR10-Pairflip0.3
cifar10,pairflip_0.3,SimiFeat-V,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.8605161916738994,0.0021664756599407606,0.7673172708504113,0.0008941124327934739,0.8112485016559043,0.0014588655227847803,CIFAR10-Pairflip0.3
cifar10,symmetric_0.6,Global-Local-GMM,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,3,0.9939610550049413,0.00032568180583423173,0.9889044158243404,0.0007365027667671545,0.9914261190844235,0.0002737721878971026,CIFAR10-Symm0.6
