protocol,dataset,backbone,noise_type,noise_name,noise_ratio,noise_generator,seed,device,num_samples,feature_sha256,tau_global,tau_local,knn_k,actual_noise_rate,precision,recall,f1,clean_count,hard_count,noisy_count,local_gmm_fallback
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,human,human_worse_label,,human_worse_label,1,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.40208,0.9966831381574494,0.732391563867887,0.8443386759182269,32515,2712,14773,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,human,human_worse_label,,human_worse_label,2,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.40208,0.9966817904787703,0.7320931157978512,0.8441398296578819,32527,2706,14767,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,human,human_worse_label,,human_worse_label,3,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.40208,0.9966817904787703,0.7320931157978512,0.8441398296578819,32527,2706,14767,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,1,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.40166,0.9858734580183048,0.9869043469601155,0.9863886331400702,29575,321,20104,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,2,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.40002,0.9901555725580209,0.9705514724263787,0.9802555168408827,30115,280,19605,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,3,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.39842,0.9883376061931333,0.9869484463631344,0.9876425378007736,29986,121,19893,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,1,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.29882,0.9530071552891124,0.9894920018740379,0.9709069416168647,34086,401,15513,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,2,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.30154,0.9520224575730509,0.9897194402069377,0.9705050242268544,33990,336,15674,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,3,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.30044,0.9502331821376094,0.9901477832512315,0.9697799511002445,34007,340,15653,False
global_local_gmm_pairflip_v1,cifar10,vit_l16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,1,cuda,50000,2f094e7193852ec3c3b1dbb0699dd52ca51bdd34f409a0355f1bab4796c0c60c,0.8,0.5,20,0.60028,0.9939355357501842,0.9883720930232558,0.9911460073504844,19954,200,29846,False
