Backbone,Metric,Statistic,CIFAR10-Human,CIFAR10-Symm0.6,CIFAR10-Pairflip0.3,CIFAR10-Inst0.4,CIFAR100-Human,CIFAR100-Symm0.6,CIFAR100-Pairflip0.3,CIFAR100-Inst0.4
clip_vit_b16,Accuracy,Mean (%),93.31,93.83,93.61,94.01,72.22,76.69,75.0,77.95
clip_vit_b16,Accuracy,Std (pp),0.01,0.12,0.04,0.18,0.1,0.04,0.21,0.08
clip_vit_b16,ECE-Calibrated,Mean (%),2.18,1.32,2.08,1.55,14.9,7.94,8.84,8.04
clip_vit_b16,ECE-Calibrated,Std (pp),0.02,0.16,0.06,0.57,0.62,0.21,0.16,1.01
clip_vit_b16,ECE-Raw,Mean (%),1.71,4.14,0.88,1.82,4.78,10.74,3.5,9.49
clip_vit_b16,ECE-Raw,Std (pp),0.05,0.13,0.04,0.68,0.1,0.15,0.32,0.06
clip_vit_b16,Macro-F1,Mean (%),93.31,93.84,93.62,94.02,71.39,76.59,74.93,77.93
clip_vit_b16,Macro-F1,Std (pp),0.01,0.12,0.03,0.17,0.11,0.05,0.23,0.12
clip_vit_l14,Accuracy,Mean (%),96.89,97.33,97.23,97.43,80.02,84.19,83.21,85.27
clip_vit_l14,Accuracy,Std (pp),0.04,0.09,0.09,0.04,0.06,0.07,0.16,0.12
clip_vit_l14,ECE-Calibrated,Mean (%),2.14,1.3,2.09,1.76,5.06,1.6,1.88,1.67
clip_vit_l14,ECE-Calibrated,Std (pp),0.06,0.03,0.08,0.04,0.17,0.09,0.11,0.28
clip_vit_l14,ECE-Raw,Mean (%),2.24,4.51,1.35,2.1,2.28,5.53,1.71,5.29
clip_vit_l14,ECE-Raw,Std (pp),0.06,0.1,0.02,0.14,0.13,0.2,0.1,0.17
clip_vit_l14,Macro-F1,Mean (%),96.88,97.33,97.23,97.43,79.32,84.17,83.27,85.3
clip_vit_l14,Macro-F1,Std (pp),0.04,0.09,0.09,0.04,0.07,0.09,0.17,0.11
dinov2_vit_b14,Accuracy,Mean (%),97.72,98.49,98.63,98.55,84.69,89.74,89.8,90.63
dinov2_vit_b14,Accuracy,Std (pp),0.03,0.02,0.06,0.07,0.02,0.1,0.22,0.19
dinov2_vit_b14,ECE-Calibrated,Mean (%),3.72,3.48,2.54,2.72,3.88,2.09,2.86,2.2
dinov2_vit_b14,ECE-Calibrated,Std (pp),0.03,0.03,0.02,0.08,0.02,0.18,0.1,0.23
dinov2_vit_b14,ECE-Raw,Mean (%),5.86,9.51,4.35,5.74,6.79,16.61,7.5,10.29
dinov2_vit_b14,ECE-Raw,Std (pp),0.03,0.03,0.05,0.01,0.03,0.15,0.06,0.2
dinov2_vit_b14,Macro-F1,Mean (%),97.71,98.49,98.63,98.55,84.26,89.74,89.76,90.63
dinov2_vit_b14,Macro-F1,Std (pp),0.03,0.02,0.06,0.07,0.02,0.08,0.22,0.2
vit_b16_imagenet,Accuracy,Mean (%),95.61,97.06,97.14,97.26,80.72,85.72,85.43,87.01
vit_b16_imagenet,Accuracy,Std (pp),0.03,0.08,0.03,0.13,0.02,0.27,0.03,0.09
vit_b16_imagenet,ECE-Calibrated,Mean (%),3.19,3.24,2.85,2.75,7.95,3.56,3.71,2.85
vit_b16_imagenet,ECE-Calibrated,Std (pp),0.02,0.04,0.07,0.09,0.23,0.69,0.68,0.79
vit_b16_imagenet,ECE-Raw,Mean (%),7.51,12.25,6.44,8.06,7.65,21.96,10.47,14.63
vit_b16_imagenet,ECE-Raw,Std (pp),0.01,0.09,0.06,0.09,0.04,0.5,0.08,0.05
vit_b16_imagenet,Macro-F1,Mean (%),95.61,97.06,97.15,97.26,80.43,85.76,85.45,87.05
vit_b16_imagenet,Macro-F1,Std (pp),0.03,0.08,0.03,0.13,0.02,0.24,0.05,0.09
vit_l16_imagenet,Accuracy,Mean (%),97.56,98.65,98.78,98.76,86.08,90.32,90.03,91.2
vit_l16_imagenet,Accuracy,Std (pp),0.02,0.02,0.04,0.03,0.15,0.26,0.13,0.05
vit_l16_imagenet,ECE-Calibrated,Mean (%),2.71,2.43,1.96,2.12,2.85,1.02,0.69,1.22
vit_l16_imagenet,ECE-Calibrated,Std (pp),0.04,0.06,0.07,0.04,0.18,0.23,0.14,0.15
vit_l16_imagenet,ECE-Raw,Mean (%),7.86,12.28,5.7,7.7,8.75,23.32,9.96,14.38
vit_l16_imagenet,ECE-Raw,Std (pp),0.04,0.03,0.1,0.06,0.13,0.52,0.22,0.17
vit_l16_imagenet,Macro-F1,Mean (%),97.55,98.64,98.78,98.76,85.88,90.33,90.04,91.22
vit_l16_imagenet,Macro-F1,Std (pp),0.02,0.02,0.04,0.03,0.15,0.25,0.12,0.06
