method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,n_clean,n_hard,n_noisy,accuracy,macro_f1
CE-GCE-SoftCE,cifar10,human,,human_worse_label,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,1,1,0.8,0.5,20,0.7,0.1,29918,3129,16953,0.9330000281333923,0.9329637730797126
CE-GCE-SoftCE,cifar10,human,,human_worse_label,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,2,1,0.8,0.5,20,0.7,0.1,29918,3129,16953,0.9330999851226807,0.933071517896064
CE-GCE-SoftCE,cifar10,human,,human_worse_label,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,3,1,0.8,0.5,20,0.7,0.1,29918,3129,16953,0.9332000017166138,0.9331672706420795
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,1,1,0.8,0.5,20,0.7,0.1,28006,838,21156,0.9398000240325928,0.9398783724986579
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,2,2,0.8,0.5,20,0.7,0.1,29777,626,19597,0.9419999718666077,0.9420450011370743
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,3,3,0.8,0.5,20,0.7,0.1,29302,746,19952,0.9383999705314636,0.9385970379684274
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,1,1,0.8,0.5,20,0.7,0.1,32074,941,16985,0.9358000159263611,0.9358708764957591
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,2,2,0.8,0.5,20,0.7,0.1,32033,1163,16804,0.9361000061035156,0.9361619819134328
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,3,3,0.8,0.5,20,0.7,0.1,32084,1118,16798,0.9365000128746033,0.936549776330294
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,1,1,0.8,0.5,20,0.7,0.1,18831,1168,30001,0.9387000203132629,0.9388304090287422
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,2,2,0.8,0.5,20,0.7,0.1,18933,716,30351,0.9391999840736389,0.9393441828978597
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,clip_vit_b16,512,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,3,3,0.8,0.5,20,0.7,0.1,18805,813,30382,0.9369000196456909,0.9370316419628445
