method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,partition_feature_sha256,partition_file_sha256,partition_match,source_partition,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,ece_num_bins,n_clean,n_hard,n_noisy,accuracy,macro_f1,ece_raw,temperature,ece_calibrated,n_calibration_anchors,anchor_mean_confidence,anchor_top_fraction,anchor_target_confidence
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,c235ff9b16e96a38edd16c5d45879832942379057eede00be9f483aaab4a4379,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/human_noisy_label/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,34818,2013,13169,0.7231000065803528,0.7147504323278412,0.04890621613524854,0.3919048242213102,0.1499381795540452,2870,0.9949997130059749,0.1,0.995
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,c235ff9b16e96a38edd16c5d45879832942379057eede00be9f483aaab4a4379,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/human_noisy_label/seed_1/partition.csv,2,1,0.8,0.5,20,0.7,0.1,15,34818,2013,13169,0.7210999727249146,0.7126922209393385,0.04683869112841784,0.382988599431586,0.15461186362802987,2876,0.9949995819966373,0.1,0.995
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,c235ff9b16e96a38edd16c5d45879832942379057eede00be9f483aaab4a4379,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/human_noisy_label/seed_1/partition.csv,3,1,0.8,0.5,20,0.7,0.1,15,34818,2013,13169,0.7225000262260437,0.7142061030495647,0.04768907002620402,0.4208650027683324,0.1423572480209172,2869,0.9949998772129589,0.1,0.995
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,4b020801cd71b132eb751d05fac8280624f596d1fb70eb22fdc2710ab5ccb6f1,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/instance_0.4/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,29185,766,20049,0.7800999879837036,0.7804445344182124,0.09488919199593367,0.5006429353998142,0.07500203147679563,2464,0.9949999916013541,0.1,0.995
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,0c142d7eff198bf70794d5167784fe0b268086318a44a846822e595c4dbab8d2,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/instance_0.4/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,29414,910,19676,0.7797999978065491,0.77937652412096,0.09553138071708381,0.4416803338956508,0.09210538578331466,2480,0.9949998329834271,0.1,0.995
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,b28de17d9e4fe5a7c0a2c60a504a8b4c28a245a9d5dfb1ba68d341876def0416,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/instance_0.4/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,29356,849,19795,0.7785999774932861,0.7780116000158301,0.09427778137363498,0.5020358687720641,0.07419102833643555,2487,0.994999990787459,0.1,0.995
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,a3d5d3f2ca8ef5aa7360eb0f49b9b73a4d700274d38419309b5c8f3a1b542009,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/pairflip_0.3/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,27244,5180,17576,0.7487999796867371,0.7487178680656167,0.032685463514551524,0.6139261145093394,0.09023114871308208,2588,0.9949998835848681,0.1,0.995
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,b9e8ffec8c3ac338149bb45e8fb036c1efd5de0e1da2b2e9dcc98959d48c0d43,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/pairflip_0.3/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,27460,5111,17429,0.7524999976158142,0.7518405744087527,0.03865886607505378,0.6038501713349187,0.08779413167461753,2594,0.9949997632246439,0.1,0.995
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,e1fbb504c6449988d5beb0a1f032250e4cc424b41a19daf04bacf8b26d732071,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/pairflip_0.3/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,27077,4941,17982,0.7487999796867371,0.7472529516998552,0.03369426599331203,0.6224990673265165,0.08719811227172615,2572,0.9949998903186623,0.1,0.995
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,clip_vit_b16,512,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,5ae0b109e323262ebed9d7509954da63cab2659da0543079889ea08d42bbc1bd,af95cae517d55d4aaceebf1e85f53c94552d864c5c6173c76c63335587df2ef9,exact_feature_hash,cifar100/clip_vit_b16/g0.8_l0.5_k20_cuda_5ae0b109e323/symmetric_0.6/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,19231,1967,28802,0.7664999961853027,0.7653259654140158,0.10589807217419146,0.48581358911302797,0.08135803863182664,1652,0.9949996400167389,0.1,0.995
