method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,partition_feature_sha256,partition_file_sha256,partition_match,source_partition,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,ece_num_bins,n_clean,n_hard,n_noisy,accuracy,macro_f1,ece_raw,temperature,ece_calibrated,n_calibration_anchors,anchor_mean_confidence,anchor_top_fraction,anchor_target_confidence
CE-GCE-SoftCE,cifar10,human,,human_worse_label,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,c8f151f6e023569292c12f18ac038d9ddf1bce48b2f032ebdd38f24f57fd92b5,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/human_worse_label/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,29164,1051,19785,0.9768999814987183,0.976822713136898,0.058252163903415255,0.8915338589071061,0.03686504836976523,2919,0.9949996702768613,0.1,0.995
CE-GCE-SoftCE,cifar10,human,,human_worse_label,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,c8f151f6e023569292c12f18ac038d9ddf1bce48b2f032ebdd38f24f57fd92b5,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/human_worse_label/seed_1/partition.csv,2,1,0.8,0.5,20,0.7,0.1,15,29164,1051,19785,0.9771999716758728,0.9771250289464396,0.05881082846671344,0.8910055929600833,0.03720007878541947,2919,0.9949996540624247,0.1,0.995
CE-GCE-SoftCE,cifar10,human,,human_worse_label,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,c8f151f6e023569292c12f18ac038d9ddf1bce48b2f032ebdd38f24f57fd92b5,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/human_worse_label/seed_1/partition.csv,3,1,0.8,0.5,20,0.7,0.1,15,29164,1051,19785,0.9775000214576721,0.9774280779601201,0.05880659191161389,0.8917748240488255,0.037530323190987126,2919,0.994999675402547,0.1,0.995
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e3bf348f791005a3fbb02f7e377ccd775fe8ef8de31c2754cefed0309decfb85,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/instance_0.4/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,29347,434,20219,0.9847999811172485,0.9848148211030731,0.05752074384987355,0.8420747848700263,0.02795611516237262,2937,0.9949999946402232,0.1,0.995
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,75416b84649085ffa52c3dd3a403ae278e15d3825f602c7c245a072e3f42bea5,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/instance_0.4/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,29493,474,20033,0.9861000180244446,0.9861037950123247,0.05729706439375879,0.8348608945955207,0.027319363655149906,2949,0.9949999901401309,0.1,0.995
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,5a9a418b6766f96db4adfba92a3a6b5defe0edb4bf2ea9a123dc9ed4ff04c44f,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/instance_0.4/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,29520,425,20055,0.9857000112533569,0.9857049427007987,0.05724976783543827,0.832466890613093,0.02645908962786194,2952,0.9949999881407995,0.1,0.995
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,b1dff507db54f64e3d42a95e6426a36661cf65a26b4900a7d83069eda129345f,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/pairflip_0.3/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,34034,449,15517,0.9857000112533569,0.9857109581305992,0.04291772002577782,0.8836437446279324,0.025166874687373577,3404,0.9949994139292844,0.1,0.995
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,1593c4fdda848380d3b73a2b7ab13306534ec8d50a6c5a136a0ee5663bd365e6,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/pairflip_0.3/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,33873,468,15659,0.9861999750137329,0.9862114551731043,0.04397617417275902,0.881605598437326,0.025438533575832846,3389,0.9949993285643731,0.1,0.995
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,c91e8b16a1393f972b7836f64d79d5f2af136e8d7f962a7de09f80c95b499325,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/pairflip_0.3/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,33935,452,15613,0.9868999719619751,0.9869123070229937,0.04370328816324466,0.8830868972076098,0.02554239040911188,3395,0.9949994015250314,0.1,0.995
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,2731f4a1b86740c3a40d856fc2adc665e53f8ce47dedcb7aef3d26e56b6c65de,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/symmetric_0.6/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,19402,400,30198,0.9850000143051147,0.9850013841638703,0.09522714110016818,0.7602066867139844,0.03485540364831688,1943,0.9949999956905695,0.1,0.995
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,9eb8d00e3456328015230f934653e9380b0eb03133764265299632107e8df5d8,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/symmetric_0.6/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,19428,409,30163,0.9847000241279602,0.9847080235797557,0.0953386938288808,0.7569648480629009,0.034413795559108215,1946,0.9949999942511328,0.1,0.995
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,dinov2_vit_b14,768,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,3e949e13967d7c5b42a8a022e8f3eaa6638a93a19a67e29834cda01e8b5d8055,exact_feature_hash,cifar10/dinov2_vit_b14/g0.8_l0.5_k20_cuda_e39a8187ca95/symmetric_0.6/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,19349,436,30215,0.9850999712944031,0.9851159735851723,0.09468559850007296,0.7639850919058373,0.035047016364336034,1938,0.9949993407393838,0.1,0.995
