method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,partition_feature_sha256,partition_file_sha256,partition_match,source_partition,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,ece_num_bins,n_clean,n_hard,n_noisy,accuracy,macro_f1,ece_raw,temperature,ece_calibrated,n_calibration_anchors,anchor_mean_confidence,anchor_top_fraction,anchor_target_confidence
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0bb20a8a9230aeae635df62967feed877a967da6cfd4793429b3b3d368da2015,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/human_noisy_label/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,29440,4380,16180,0.8069999814033508,0.8042293819533728,0.07628967380709946,0.5066095397339266,0.08031559398770333,2780,0.9949998149535239,0.1,0.995
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0bb20a8a9230aeae635df62967feed877a967da6cfd4793429b3b3d368da2015,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/human_noisy_label/seed_1/partition.csv,2,1,0.8,0.5,20,0.7,0.1,15,29440,4380,16180,0.8073999881744385,0.8046064042947607,0.07695354618951675,0.4994656358811364,0.08135440765768287,2779,0.9949997083242498,0.1,0.995
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,0bb20a8a9230aeae635df62967feed877a967da6cfd4793429b3b3d368da2015,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/human_noisy_label/seed_1/partition.csv,3,1,0.8,0.5,20,0.7,0.1,15,29440,4380,16180,0.8070999979972839,0.8041738363426468,0.07616282745264473,0.5207981001125812,0.07695227452963593,2780,0.9949999021251915,0.1,0.995
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,fb858dfdbb1c6484fee0bf33cd4434c0bb2dcb21e34c4b209a4baa947d025fad,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/instance_0.4/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,29356,697,19947,0.8697999715805054,0.8701594066627872,0.1467679248880595,0.5317619830052286,0.02397545951157805,2736,0.9949994704295277,0.1,0.995
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,3965d20678c42ea900560488d2d9943e29bbd312b60955a1f1398dd28bb9a331,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/instance_0.4/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,29579,883,19538,0.8694000244140625,0.8698003936571936,0.1457363173585385,0.4823401503058303,0.03763192465752364,2740,0.9949995677032403,0.1,0.995
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,e59e86796b677d2e6d557d70d14c3a7cc644144d9608bc1bfcb20220f1ad14d8,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/instance_0.4/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,29568,1748,18684,0.8712000250816345,0.8714201884496328,0.14628388535901904,0.5352987903709624,0.02375653183385728,2750,0.9949994717655778,0.1,0.995
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,9a1bd39257cd6a59604f8555882de863ba5fc8f8d2f82b2a76e7783daf77ef95,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/pairflip_0.3/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,27582,4622,17796,0.8546000123023987,0.8549119842772984,0.1055117976028472,0.6082773305688832,0.029608916351944223,2701,0.9949999098241116,0.1,0.995
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,5f868b9d7d0987f5a1042b76f4d18e4441dc55ed60fe296b8a2383c42fd09b51,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/pairflip_0.3/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,27683,4616,17701,0.8543999791145325,0.854689666167847,0.10390824672318996,0.5562603193774369,0.04271616609767077,2713,0.9949999418916492,0.1,0.995
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,ad303e96953e0f69162565fa939630d99720aeb6cc481ed889ca3e3cbf17d607,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/pairflip_0.3/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,27817,4366,17817,0.8539999723434448,0.8539863686426864,0.10481960383504628,0.56817579409959,0.03896622220948338,2722,0.9949999244726234,0.1,0.995
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,vit_b16_imagenet,768,dc6a61367d8501ab144ac6c65f2ead28478e377382430b77f2aac49b585b4559,8e57ad20e5576599ca64da15cebf2f92c6d59e85e3ac81268b2528605905fad5,21f5c67b3dca909f260a2bb99509c1d2fed8d530aa477397c65ce34df0f64c1d,compatible_backbone,cifar100/vit_b16_imagenet/g0.8_l0.5_k20_cuda_8e57ad20e557/symmetric_0.6/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,19428,1682,28890,0.8544999957084656,0.8551168162741799,0.2146631083138287,0.4766229254131514,0.03156686562448737,1814,0.9949996757339775,0.1,0.995
