method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,partition_feature_sha256,partition_file_sha256,partition_match,source_partition,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,ece_num_bins,n_clean,n_hard,n_noisy,accuracy,macro_f1,ece_raw,temperature,ece_calibrated,n_calibration_anchors,anchor_mean_confidence,anchor_top_fraction,anchor_target_confidence
CE-GCE-SoftCE,cifar10,human,,human_worse_label,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,eb0b7db9956b55b50d6e73492c32e791ec00da7955d2aed3495e83a1e9edeee2,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/human_worse_label/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,30529,3157,16314,0.9754999876022339,0.9754025552324634,0.0782664360299706,0.7297403492669158,0.027047575533390086,3018,0.9949999827408494,0.1,0.995
CE-GCE-SoftCE,cifar10,human,,human_worse_label,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,eb0b7db9956b55b50d6e73492c32e791ec00da7955d2aed3495e83a1e9edeee2,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/human_worse_label/seed_1/partition.csv,2,1,0.8,0.5,20,0.7,0.1,15,30529,3157,16314,0.9758999943733215,0.975805140866943,0.07902943691909313,0.7290505485240988,0.02745549385547632,3019,0.9949998225408911,0.1,0.995
CE-GCE-SoftCE,cifar10,human,,human_worse_label,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,eb0b7db9956b55b50d6e73492c32e791ec00da7955d2aed3495e83a1e9edeee2,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/human_worse_label/seed_1/partition.csv,3,1,0.8,0.5,20,0.7,0.1,15,30529,3157,16314,0.9754999876022339,0.9754005240631403,0.07839652280509467,0.7289690667873181,0.026757721690833576,3019,0.994999824242398,0.1,0.995
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,a74dd35fe1dcf2d09cd4cbbc416ad32924bedd2f5e9dee4985e03f8a310371d9,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/instance_0.4/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,29493,325,20182,0.9879000186920166,0.9878894458252392,0.07658869691044093,0.7133440791259189,0.02109665916860111,2947,0.9949999954951795,0.1,0.995
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,e68bbf4739bdbb959df2f247d5b8f286a20ffacbe9e31582f41022a9c1d8760e,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/instance_0.4/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,29926,182,19892,0.9872999787330627,0.9872858560009989,0.07769764819145202,0.7112282018216228,0.02167823123484853,2972,0.9949999949887948,0.1,0.995
CE-GCE-SoftCE,cifar10,instance,0.4,instance_0.4,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,c6788584b1c3f085f3bc52d3e454ac351c4efb53f72cda4a59981166b7a4ae1e,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/instance_0.4/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,29881,155,19964,0.9876999855041504,0.9876910839914859,0.07658018493503334,0.7116870909843614,0.020858944326639154,2975,0.9949999948734116,0.1,0.995
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,76ba81d3007d7c8002adac528b982d072bd84210e84e1b031a1eb6b46dc6143f,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/pairflip_0.3/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,34289,264,15447,0.9878000020980835,0.987783624070947,0.056766208411753186,0.7674328976489969,0.01943839564025409,3427,0.9949996439100071,0.1,0.995
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,f81b66b0bff645b1eb6e6f386320facbb5ecbb4db8f4bfd9934f3ee0bcac5cd5,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/pairflip_0.3/seed_2/partition.csv,2,2,0.8,0.5,20,0.7,0.1,15,34160,278,15562,0.9882000088691711,0.9881905754211366,0.058112447486817834,0.765042009925656,0.02031725054979326,3413,0.9949995855849412,0.1,0.995
CE-GCE-SoftCE,cifar10,pairflip,0.3,pairflip_0.3,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,632b0177f342672f64b3555523ea87c7319658b5afc7c243c3149a10a955bf4e,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/pairflip_0.3/seed_3/partition.csv,3,3,0.8,0.5,20,0.7,0.1,15,34236,295,15469,0.987500011920929,0.9874903358929163,0.05613091326802967,0.76526381728511,0.019031515955924953,3420,0.994999593022942,0.1,0.995
CE-GCE-SoftCE,cifar10,symmetric,0.6,symmetric_0.6,vit_l16_imagenet,1024,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,94e070df6a06e86b9e41b0f57edec3e12304c38de7d35a9a54ffb908c32d174d,08db1d9576bb3ff1f20206d62e709cbdf198862832db84452402cb702e62b4b5,exact_feature_hash,cifar10/vit_l16_imagenet/g0.8_l0.5_k20_cuda_0_94e070df6a06/symmetric_0.6/seed_1/partition.csv,1,1,0.8,0.5,20,0.7,0.1,15,19808,204,29988,0.9864000082015991,0.9863752236579308,0.12314490807652476,0.623180359859028,0.025050318616628653,1977,0.9949996936919862,0.1,0.995
