method,dataset,noise_type,noise_rate,noise_name,backbone,feature_dim,feature_sha256,seed,partition_seed,tau_global,tau_local,knn_k,gce_q,prototype_temperature,n_clean,n_hard,n_noisy,accuracy,macro_f1
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,1,1,0.8,0.5,20,0.7,0.1,30845,2582,16573,0.8618000149726868,0.8599979780294058
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,2,1,0.8,0.5,20,0.7,0.1,30845,2582,16573,0.8590999841690063,0.8570834081829791
CE-GCE-SoftCE,cifar100,human,,human_noisy_label,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,3,1,0.8,0.5,20,0.7,0.1,30845,2582,16573,0.8614000082015991,0.8593633924797698
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,1,1,0.8,0.5,20,0.7,0.1,29603,278,20119,0.9124000072479248,0.9125239294933806
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,2,2,0.8,0.5,20,0.7,0.1,29641,289,20070,0.9121999740600586,0.9125169213221191
CE-GCE-SoftCE,cifar100,instance,0.4,instance_0.4,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,3,3,0.8,0.5,20,0.7,0.1,29658,290,20052,0.9114000201225281,0.9115671044342559
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,1,1,0.8,0.5,20,0.7,0.1,31959,1866,16175,0.8991000056266785,0.8992764912813678
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,2,2,0.8,0.5,20,0.7,0.1,31853,2327,15820,0.9002000093460083,0.9002254405627196
CE-GCE-SoftCE,cifar100,pairflip,0.3,pairflip_0.3,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,3,3,0.8,0.5,20,0.7,0.1,31867,1890,16243,0.9016000032424927,0.9016931542794903
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,1,1,0.8,0.5,20,0.7,0.1,19794,541,29665,0.9003999829292297,0.9006216440418935
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,2,2,0.8,0.5,20,0.7,0.1,19646,464,29890,0.9056000113487244,0.9056923935056076
CE-GCE-SoftCE,cifar100,symmetric,0.6,symmetric_0.6,vit_l16_imagenet,1024,dc58581c6c4a4995f613273e1c3396fbbe5631fa82b83ea1a3fa89f0bab2bb96,3,3,0.8,0.5,20,0.7,0.1,19686,450,29864,0.9035999774932861,0.9036138299289576
